,labels,predicted_labels,tokens
227,0,0,##n
228,0,0,gefunden
229,0,0,.
230,0,0,In
231,0,0,den
232,0,0,1980
233,0,0,##er
234,0,0,Jahren
235,0,0,initi
236,0,0,##ierte
237,0,0,er
238,0,0,Untergrund
239,0,0,##ex
240,0,0,##per
241,0,0,##imente
242,0,0,zur
243,0,0,Suche
244,0,0,nach
245,0,0,magnet
246,0,0,##ischen
247,0,0,Monopol
248,0,0,##en
249,0,0,und
250,0,0,anderen
251,0,0,hy
252,0,0,##pot
253,0,0,##het
254,0,0,##ischen
255,0,0,Teilchen
256,0,0,(
257,0,0,umgesetzt
258,0,0,an
259,0,0,Labor
260,0,0,##ator
261,0,0,##i
262,0,0,Nazi
263,0,0,##ona
264,0,0,##li
265,0,0,del
266,0,0,Gran
267,0,0,Sa
268,0,0,##ss
269,0,0,##o
270,0,0,in
271,0,0,Italien
272,0,0,","
273,0,0,MA
274,0,0,##C
275,0,0,##RO
276,0,0,für
277,0,0,Monopol
278,0,0,##e
279,0,0,","
280,0,0,Ast
281,0,0,##roph
282,0,0,##ysi
283,0,0,##cs
284,0,0,and
285,0,0,Cos
286,0,0,##mi
287,0,0,##c
288,0,0,Ray
289,0,0,Ob
290,0,0,##serv
291,0,0,##atory
292,0,0,)
293,0,0,und
294,0,0,war
295,0,0,damit
296,0,0,an
297,0,0,der
298,0,0,Front
299,0,0,der
300,0,0,Ast
301,0,0,##rote
302,0,0,##il
303,0,0,##chen
304,0,0,##physik
305,0,0,.
306,0,0,MA
307,0,0,##C
308,0,0,##RO
309,0,0,fand
310,0,0,zwar
311,0,0,keine
312,0,0,magnet
313,0,0,##ischen
314,0,0,Monopol
315,0,0,##e
316,0,0,","
317,0,0,lieferte
318,0,0,aber
319,0,0,Hinweise
320,0,0,auf
321,0,0,Neut
322,0,0,##rin
323,0,0,##omas
324,0,0,##sen
325,0,0,.
326,0,0,""""
327,0,0,""""
328,0,0,Anfang
329,0,0,der
330,0,0,1990
331,0,0,##er
332,0,0,Jahre
333,0,0,war
334,0,0,er
335,0,0,einer
336,0,0,der
337,0,0,Leiter
338,0,0,der
339,0,0,Konstruktion
340,0,0,beiden
341,0,0,GE
342,0,0,##M
343,0,0,(
344,0,0,Gam
345,0,0,##mas
346,0,0,","
347,0,0,Elect
348,0,0,##ron
349,0,0,##s
350,0,0,","
351,0,0,Mu
352,0,0,##ons
353,0,0,)
354,0,0,Dete
355,0,0,##ktoren
356,0,0,für
357,0,0,das
358,0,0,geplante
359,0,0,","
360,0,0,aber
361,0,0,am
362,0,0,Ende
363,0,0,nicht
364,0,0,realisiert
365,0,0,##e
366,0,0,Super
367,0,0,##cond
368,0,0,##uc
369,0,0,##tin
370,0,0,##g
371,0,0,Super
372,0,0,Coll
373,0,0,##ider
374,0,0,Projekt
375,0,0,.
376,0,1,Wesent
377,0,0,##liche
378,0,0,Teile
379,0,0,des
380,0,0,Projekts
381,0,0,und
382,0,0,viele
383,0,0,der
384,0,0,Mitarbeiter
385,0,0,fanden
386,0,0,Eingang
387,0,0,in
388,0,0,den
389,0,0,späteren
390,0,0,L
391,0,0,##HC
392,0,0,Dete
393,0,0,##ktor
394,0,0,.
395,0,0,""""
396,0,0,1994
397,0,0,wurde
398,0,0,er
399,0,0,Prin
400,0,0,##cip
401,0,0,##al
402,0,0,Invest
403,0,0,##iga
404,0,0,##tor
405,0,0,bei
406,0,0,L
407,0,0,##IG
408,0,0,##O
409,0,0,und
410,0,0,1997
411,0,0,bis
412,0,0,2005
413,0,0,war
414,0,0,er
415,0,0,dessen
416,0,0,Direktor
417,0,0,.
418,0,0,Er
419,0,0,baute
420,0,0,das
421,0,0,Experiment
422,0,0,von
423,0,0,der
424,0,0,Finanzierung
425,0,0,über
426,0,0,die
427,0,0,Konstruktion
428,0,0,der
429,0,0,Laser
430,0,0,-
431,0,0,Inter
432,0,0,##fer
433,0,0,##ometer
434,0,0,bis
435,0,0,zur
436,0,0,Organisation
437,0,0,der
438,0,0,internationalen
439,0,0,Koll
440,0,0,##abor
441,0,0,##ation
442,0,0,von
443,0,0,über
444,0,0,1000
445,0,0,Mitarbeitern
446,0,0,auf
447,0,0,.
448,0,0,Der
449,0,0,Ad
450,0,0,##vanced
451,0,0,Prop
452,0,0,##osa
453,0,0,##l
454,0,0,von
455,0,0,L
456,0,0,##IG
457,0,0,##O
458,0,0,wurde
459,0,0,noch
460,0,0,in
461,0,0,seiner
462,0,0,Zeit
463,0,0,als
464,0,0,Direktor
465,0,0,erstellt
466,0,0,.
467,0,0,2015
468,0,0,gelang
469,0,0,mit
470,0,0,L
471,0,0,##IG
472,0,0,##O
473,0,0,der
474,0,0,erste
475,0,0,direkte
476,0,0,Nachweis
477,0,0,von
478,0,0,Gra
479,0,0,##vit
480,0,0,##ations
481,0,0,##wellen
482,0,0,und
483,0,0,des
484,0,0,Versch
485,0,0,##melzen
486,0,0,##s
487,0,0,zweier
488,0,0,schwarzer
489,0,0,Löcher
490,0,0,.
491,0,0,Die
492,0,0,Entdeckung
493,0,0,wurde
494,0,0,im
495,0,0,Februar
496,0,0,2016
497,0,0,der
498,0,0,Öffentlichkeit
499,0,0,bekanntgegeben
500,0,0,(
501,0,0,und
502,0,0,von
503,0,0,Bar
504,0,0,##ish
505,0,0,am
506,0,0,CE
507,0,0,##R
508,0,0,##N
509,0,0,präsentiert
510,0,0,)
511,-100,0,[SEP]
